"Community safety and social inclusion > Welsh Index of Multiple Deprivation > Archive > WIMD 2011 > Welsh Index of Multiple Deprivation 2011 by rank and local super output area"
""
"","","WIMD (1)","Income (2)","Employment (3)","Health (4)","Education (5)","Access to Services (6)","Community Safety (7)","Physical Environment (8)","Housing (9)"
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"","W01000182: Rhiw 3 ",221,255,34,490,932,1726,370,1847,64
"","W01000183: Rhiw 4 ",1622,1237,1111,1255,1828,1529,1279,1863,944
"","W01000184: Towyn ",293,615,400,164,360,354,335,173,512
"","W01000185: Trefriw ",1084,1118,1111,1455,1129,251,1746,609,526
"","W01000186: Tudno 1 ",423,366,456,873,463,1704,389,150,49
"","W01000187: Tudno 2 ",116,72,153,499,205,996,208,184,32
"","W01000188: Tudno 3 ",1268,1164,1111,1570,1123,615,1347,262,1528
"","W01000189: Uwch Conwy ",1068,1402,1327,1563,1029,68,1820,1695,209
"","W01000190: Uwchaled ",1240,1330,1560,1682,1559,50,1524,1674,460
"Denbighshire ","",".",".",".",".",".",".",".",".","."
"Denbighshire ","W01000191: Bodelwyddan ",933,990,1221,1176,833,295,991,1177,188
"","W01000192: Corwen 1 ",1161,1262,1111,1450,1256,203,1493,781,624
"","W01000193: Corwen 2 ",940,783,941,1488,885,445,1029,1335,374
"","W01000194: Denbigh Central ",881,874,585,752,1114,1822,186,1448,724
"","W01000195: Denbigh Lower 1 ",1832,1761,1673,1466,1673,727,1795,1714,1664
"","W01000196: Denbigh Lower 2 ",1767,1757,1673,1268,1311,1258,1434,1225,1155
"","W01000197: Denbigh Lower 3 ",1595,1471,1327,1354,1327,886,1321,1226,1043
"","W01000198: Denbigh Upper/Henllan 1 ",160,103,153,609,118,1391,325,1315,82
"","W01000199: Denbigh Upper/Henllan 2 ",782,779,782,1145,795,339,773,1426,365
"","W01000200: Dyserth 1 ",1508,1341,1327,1446,1449,486,1265,1654,976
"","W01000201: Dyserth 2 ",834,799,1022,1223,883,390,920,345,343
